wl,baseline,buffer,gfp,yfp,lysozyme
464.8,-0.00407,0.00016,0.04889,0.08002,0.0227
464.6,-0.00406,0.00012,0.04882,0.08005,0.02267
464.4,-0.00415,-5.00E-05,0.04872,0.08014,0.02266
464.2,-0.00417,-0.00016,0.04848,0.08002,0.02288
464,-0.00403,-0.00024,0.04846,0.07986,0.02296
463.8,-0.00399,-0.00012,0.04854,0.07989,0.02239
463.6,-0.00401,-0.00038,0.04832,0.07978,0.02246
463.4,-0.00433,-0.00021,0.04844,0.08003,0.02283
463.2,-0.00424,-0.00012,0.04805,0.07992,0.02248
463,-0.00402,-0.0003,0.04768,0.0797,0.02245
462.8,-0.00427,-0.0002,0.0481,0.07993,0.02278
462.6,-0.00418,-0.00032,0.04808,0.07989,0.02264
462.4,-0.0041,-0.00015,0.0478,0.07986,0.02248
462.2,-0.00413,-0.00013,0.04753,0.07981,0.02239
462,-0.00413,-0.00028,0.04739,0.07981,0.02222
461.8,-0.00436,2.00E-05,0.04767,0.08008,0.02248
461.6,-0.00439,8.00E-05,0.04761,0.08015,0.02261
461.4,-0.00406,-0.00031,0.04712,0.07989,0.02239
